appellation,pente,altitude,exposition,nb_parcelles
Ajaccio,8.408194145501508,130.375807145932,201.5605962117951,4646
Alsace ou Vin d'Alsace,3.8119118065433857,221.47169274537697,124.04714082503556,31635
Anjou,2.005863195885078,65.63917701554463,181.69512233936743,35189
Anjou Brissac,1.612185297079557,58.07049345417926,172.09120342396778,1986
Anjou Villages,2.0831583264971285,60.427946404156415,180.6097798742138,7314
Arbois,5.167740805604203,316.37565674255694,214.89803852889668,1142
Bandol,4.743741588156124,119.69179004037684,176.52480484522206,743
Banyuls,15.926276371308017,141.83227848101265,159.74569620253166,948
Banyuls grand cru,15.926276371308017,141.83227848101265,159.74569620253166,948
Beaujolais,7.519552271942374,343.05523212788,146.3544854210864,40538
Bergerac,3.3994781115879826,104.03047210300429,187.44645579399142,11650
Bordeaux,2.5342136862096427,52.50964896158794,178.2955910371868,65292
Bordeaux supérieur,2.528329031039476,52.172826292262165,178.07234905244601,63532
Bourgogne,5.234407883817427,271.22,171.34802282157676,24100
Bourgogne Passe-tout-grains,4.9258771603297,273.59415049189045,164.8490816272268,18805
Bourgogne aligoté,4.9258771603297,273.59415049189045,164.8490816272268,18805
Bourgogne mousseux,4.9258771603297,273.59415049189045,164.8490816272268,18805
Bourgueil,1.188769170271333,47.46716476602438,161.97780574125048,2543
Brulhois,4.784930394431554,131.64385150812066,177.75939675174016,1724
Bugey,4.677445504087193,280.1628065395095,184.89595367847411,1468
Buzet,3.794328703703704,87.50320512820512,167.49847756410256,5616
Béa du Roussillon,1.0362509505703423,32.580988593155894,160.9211711026616,1315
Béarn,5.59683,202.52966666666666,159.20235555555556,9000
Cabardès,3.44398224852071,152.56923076923076,169.61204733727809,1690
Cabernet d'Anjou,1.9396725380543676,65.82442656778014,180.15309698256527,33439
Cadillac,4.916055930568949,75.48240115718419,181.01605110896816,4148
Cahors,3.9254083094555874,169.2236747851003,198.89864792263612,5584
Chablis,6.4273137630919015,213.08629591385161,197.06966514235137,6779
Cheverny,0.7925156250000001,87.564375,183.84645625000002,3200
Chinon,1.7031969817315329,53.23669579030977,175.83447974583,2518
Châteauneuf-du-Pape,1.9018664563617245,48.15141955835962,148.95461619348055,1902
Clairette de Bellegarde,0.8786601307189542,54.40359477124183,161.71447712418302,1836
Clairette de Die,7.964889141557703,359.345650938033,180.01380329732805,1759
Clairette du Languedoc,3.316420784040826,90.0985850150777,167.50830085826956,17244
Collioure,15.926276371308017,141.83227848101265,159.74569620253166,948
Condrieu,5.3569324758842445,308.6932475884244,144.9121414790997,1555
Corbières,3.418050771639454,85.84695817490494,167.18373126817266,17884
Costières de Nîmes,1.273151655341911,54.22061587393379,174.91971230302153,6917
Coteaux Bourguignons ou Bourgogne grand ordinaire ou Bourgogne ordinaire,4.9258771603297,273.59415049189045,164.8490816272268,18805
Coteaux d'Aix-en-Provence,3.138941153316276,222.28931312733715,200.45736862822278,5081
Coteaux d'Ancenis,2.9646784922394676,58.54711751662971,185.15111973392462,1804
Coteaux de Die,7.964889141557703,359.345650938033,180.01380329732805,1759
Coteaux de Saumur,1.732526210683974,66.4,177.99414178731902,10015
Coteaux de l'Aubance,1.612185297079557,58.07049345417926,172.09120342396778,1986
Coteaux du Giennois,1.9428051948051948,164.11688311688312,162.49403896103897,770
Coteaux du Layon,3.1941582733812948,52.40479616306954,185.5807865707434,4170
Coteaux du Loir,2.572733870967742,83.60322580645162,191.57383064516128,1240
Coteaux du Vendômois,2.4540576080150283,108.20037570444583,198.51754539762055,1597
Coteaux varois en Provence,3.6725214081826834,292.0903901046622,183.2730066603235,1051
Cour-Cheverny,0.8570053039575684,87.953080375357,188.42251325989392,2451
Crozes-Hermitage ou Crozes-Ermitage,7.862424957841484,257.1281618887015,168.67130860033726,2965
Crémant d'Alsace,3.8119118065433857,221.47169274537697,124.04714082503556,31635
Crémant de Bordeaux,2.528329031039476,52.172826292262165,178.07234905244601,63532
Crémant de Bourgogne,6.2820493782078595,301.8523928346824,161.40975432617208,49293
Crémant de Die,7.964889141557703,359.345650938033,180.01380329732805,1759
Crémant de Limoux,6.480721609344581,262.66878650227125,187.23144970798185,7705
Crémant de Loire,1.76457095854354,74.6313884623821,179.85006382978725,45590
Crémant du Jura,4.176485833516363,290.3129804524489,216.49576982209533,4553
Côte de Beaune-Villages,5.394702030124426,304.1041257367387,160.6241781270465,1527
Côte roannaise,5.738099369085173,472.1577287066246,121.47521293375395,1268
Côtes d'Auvergne,4.731179801793299,411.70835299669653,184.74311939594148,2119
Côtes de Bergerac,3.3994781115879826,104.03047210300429,187.44645579399142,11650
Côtes de Bordeaux,3.315153233220962,59.65798345081214,185.35233604045357,26104
Côtes de Bordeaux-Saint-Macaire,3.6657204533189423,68.62924986508365,191.53642201834862,1853
"Côtes de Bourg, Bourg et Bourgeais",3.3421940928270044,35.143459915611814,163.7051476793249,1185
Côtes de Duras,3.8519627906976743,82.62511627906977,191.95205953488372,5375
Côtes de Provence,3.4482715951455543,170.1625287538669,165.99826524946457,12607
Côtes du Forez,5.68701786814541,508.84473197781887,125.17318853974122,3246
Côtes du Jura,4.176485833516363,290.3129804524489,216.49576982209533,4553
Côtes du Marmandais,3.314643098401261,64.29655482999324,175.82060346768748,4441
Côtes du Rhône,3.362989509336031,155.88552640260397,183.36349446875894,45469
Côtes du Rhône Villages,3.1616438356164385,168.04665362035226,194.64052028701892,38325
Côtes du Roussillon,3.6029025966789257,107.30586203053605,151.47663936253204,17946
Côtes du Roussillon Villages,4.132672067679954,127.53484370519071,155.52441281904214,13948
Entraygues - Le Fel,12.14187908496732,572.7132352941177,182.89615196078432,1224
Entre-deux-Mers,2.8600296404275998,60.94334305150632,184.06768610301262,20580
Fiefs Vendéens,2.3032785923753667,35.81466275659824,176.5617771260997,1705
Fitou,5.923038075092544,148.57033315705976,143.26647012162877,3782
Fleurie,8.97708913125235,356.1910492666416,139.58786009778112,2659
Fronton,1.592411462557448,145.51230062178968,147.10560421735605,3699
Gaillac,3.195010506208214,191.3945558739255,181.02317860553964,10470
